S.No,Item name,Brand_Name,Category,Sub_Category,Ingredients,Serving_Size_g,Calories_kcal,Carbohydrates_g,Proteins_g
148,No filter 100% juice cranberry,NO FILTER,JUICE,FRUIT BEVERAGE,100%  cranberry juice,100,46,11.5,0
149,No filter 100% juice orange,NO FILTER,JUICE,FRUIT BEVERAGE,100% pure orange juice,100,47,11.8,0
150,No filter 100% juice mango,NO FILTER,JUICE,FRUIT BEVERAGE,100%  mango juice,100,46,11.6,0
151,No filter 100% juice strawberry,NO FILTER,JUICE,FRUIT BEVERAGE,100%  strawberry juice,100,46,11.5,0
152,No filter 100% juice lychee,NO FILTER,JUICE,FRUIT BEVERAGE,100% lychee juice,100,46,11.5,0
153,Pokka Ready To Drink Carrot Juice,POKKA,JUICE,FRUIT BEVERAGE,"Water, Carrot Juice Concentrate, Orange Juice Concentrate, Apple Juice Concentrate, Sucrose, Citric Acid, Vitamin C, Vitamin E",100,103,25.8,0
154,RIO Blueberry Peach Bubbly Fruit Drink Can,RIO,JUICE,FRUIT BEVERAGE,"Acidity Regulators INS 330, Acidity Regulators  INS 296, Acidity Regulators  INS 333, Apple Juice (8%), Carbon Dioxide (INS 290), Honey, Mix Berry Juice (2%), Permitted Class II Preservative (INS 211), Permitted Nature Identical Flavour Blueberry,Permitted Nature Identical Flavour  Peach, Purified Water, Sugar, Vitamin C, Peach Juice (2%)",100,40,11,0.5
155,RIO Acai Berry & Mixed Berry Bubbly Fruit Drink Can,RIO,JUICE,FRUIT BEVERAGE,"Purified Water, Sugar, Apple Juice (7%), Mix Berry Juice (5%), Carbon Dioxide (INS290), Acidity Regulators INS296,Acidity Regulators INS330,Acidity Regulators INS331), Vitamin C, Permitted Class I Preservative (INS211), Honey, Permitted Synthetic Colours (INS133, INS122), and Permitted Nature Identical Flavour (Acai Berry)",100,40,10,0.5
156,RIO WildBerry Bubbly Fruit Drink Can,RIO,JUICE,FRUIT BEVERAGE,"Purified Water, Sugar, Mix Berry Juice (7.5%), Apple Juice (7.5%), Carbon Dioxide (Ins 290), Acidity Regulators Acidity Regulators Ins 296,Acidity Regulators Ins 330,Acidity Regulators  Ins 331, Vitamin C, Permitted Class Ii Preservative (Ins 211) , Honey, Contains Permitted Synthetic Colours Ins 133,Contains Permitted Synthetic Colours Ins 122, Contains Permitted Nature Identical Flavour (Wild Berry)",100,40,10,0.5
157,RIO Pink Guava Bubbly Fruit Drink Can,RIO,JUICE,FRUIT BEVERAGE,"Acidity Regulators INS 296, Acidity Regulators INS 330,Acidity Regulators INS 331, Carbon Dioxide (INS 290), Guava Juice (Apple Juice (5%), Honey, Permitted Class II Preservative (INS 211), Permitted Nature Identical Flavour (Guava), Purified Water, Sugar, Vitamin C, Contains Permitted Synthetic Colours (INS 122)",100,48,12,0.5
158,Appy Fizz Apple Soft Drink,APPY,JUICE,SODA,"Water, Sugar, Carbonating Agent (Ins 290), Acidity Regulators Ins 296, Acidity Regulators Ins 331(Iii), Acidity Regulators Ins 330, Stabilizer (Ins 440), Natural Colour (150D), Preservative (Ins 211), Antioxidant (Ins 300), Nature-Identical Flavouring Substance (Apple)",100,51.8,12.95,0
159,Paper Boat Aamras Drink,PAPER BOAT,JUICE,FRUIT BEVERAGE,"Mango Pulp, Cardamom Powder, Saffron Powder",100,61.2,15.3,0
160,Dabur Real Mango Drink,DABUR REAL,JUICE,FRUIT BEVERAGE,"Acidity Regulator (INS 330), Added Flavours (Nature Identical Flavouring Substances), Antioxidant (INS 300), Blend of Mango Pulp (25%) [Including Alphonso Mango Pulp (0.5%)], Colour (INS 160 A (Ui)), Stabilizer (INS 440), Sugar, Water",100,57,14.3,0
161,Del Monte Green Apple Fruit Drink Crisp,DEL MONTE,JUICE,FRUIT BEVERAGE,"Acidity Regulators (INS 296, INS 330), Apple Juice (Reconstituted From Apple Juice Concentrate) (30%), Iodized Salt, Sugar, Water",100,45.2,11.3,0
162,Raw Pressery Refreshers Aam Mango Drink,RAW PRESSERY,JUICE,FRUIT BEVERAGE,"Acidity Regulator (INS 330), Antioxidants (Vitamin C - INS 300), Colour (INS 160a), Khandsari Sugar, Mango Pulp (28%), Natural Flavouring Substances, Pectin, Stevia",100,40.1,9.6,0.4
163,B Natural Guava,BE NATURAL,JUICE,FRUIT BEVERAGE,"Water, Guava Pulp (20.3%), Apple Juice Concentrate (4.16%), Natural Flavours and Natural Flavouring Substances, Acidity Regulators 330,Acidity Regulators  331(), Stabilizers 466,Stabilizers  415, Vitamin, Sweeteners 960,Sweeteners 955, Colours 150d, Colours 124 , lodized Salt.",100,20,5,0.1
164,Alo Frut Litchi,ALOFRUT,JUICE,FRUIT BEVERAGE,"Acidity Regulator (INS 330), Aloevera Juice and Pulp, Cane Sugar, Litchi Pulp, Nature Identical Flavouring Substances, Preservatives INS 202 ,Preservatives INS 211, Stabiliser INS 414, Stabiliser INS 419, Stabiliser INS 440, Stabiliser INS 445, Water",100,42.68,10.67,0
165,Bindu Fizz Jeera Masala Soft Drink,BINDU,JUICE,SODA,"Purified Water, Sugar, Carbon Dioxide (INS 290), Salt, Acidity Regulator (INS 330), Class I Preservative (INS 211), Contains Permitted Natural Colour (INS 150D) , Synthetic Food Colour INS 102,Synthetic Food Colour INS 110,Synthetic Food Colour INS 122,Synthetic Food Colour INS 133, Added Flavours Natural and Nature Identical Flavouring Substances (Jeera)",100,47,11.6,0.1
166,Fanta Orange Flavoured Soft Drink,FANTA,JUICE,SODA,"Carbonated Water, Sugar, Acidity Regulator (INS 330), Stabilizers INS 414,Stabilizers INS 445, Preservative (INS 211), Colour (INS 110), Flavours (Natural and Nature-identical Flavouring Substances)",100,56,14,0
167,Bombay Banta Lemon Soda Soft Drink,BOMBAY BANTA,JUICE,SODA,"Carbonated Water, Cumin Powder, Lemon Juice Concentrate (2.1%), Preservative (INS 211), Salt, Sugar, Black Pepper Powder, Black Salt",100,46,11,0
168,Bombay Banta Kala Khatta Soft Drink,BOMBAY BANTA,JUICE,SODA,"Carbonated Water, Cumin Powder, Lemon Juice Concentrate (2.1%), Preservative (INS 211), Salt, Sugar, Black Pepper Powder, Black Salt, Addity Regulators (INS 5330)",100,48,12.2,0
169,Thums Up X Force,THUMS UP,JUICE,SODA,"Carbonated Water, Acidity Regulator (338), Caffeine, Colour (150d), Preservative (211), Sweeteners 955,Sweeteners 950,  Flavours (Natural, Nature Identical, Artificial (Cola) Flavouring Substances)",100,0,0,0
170,Bombay Banta Masala Soda Soft Drink,BOMBAY BANTA,JUICE,SODA,"Carbonated Water, Citric Acid, Lemon Juice Reconstituted (2%), Acidity Regulator (INS 330), Added Flavours (Natural and Nature Identical Flavouring Substances - Jeera), Salt, Sugar, Class II Preservative (INS 211)",100,42,10.6,0
171,Paper Boat Swing Jeera Soft Drink,PAPER BOAT,JUICE,SODA,"Added Flavours (Natural and Nature Identical Flavouring Substances - Jeera), Cane Sugar, Citric Acid (INS 330), Co (INS 290),Apple 7%, Lemon 3%, Iodised Salt, Permitted Class-II, Permitted Natural Food Colour (INS 150D), Preservative (INS 211), Vitamin C (INS 300), Purified Water",100,46,11.5,0
172,Aloha Strawberry and Lime Flavoured Soft Drink,ALOHA,JUICE,SODA,"Carbonated Water, Sugar, Acidity Regulator INS 330,Acidity Regulator INS 331, Preservative (INS 211), Sweetener (INS 955), Nature Identical Flavour, Antioxidant (INS 300), Synthetic Colour (INS 124)",100,90,21.3,0
173,Aloha Peach Flavoured Soft Drink,ALOHA,JUICE,SODA,"Carbonated Water, Sugar, Acidity Regulator INS 330,Acidity Regulator INS 331, Preservative (INS 211), Sweetener (INS 955), Natural & Nature Identical Flavour, Antioxidant (INS 300), Synthetic Colour INS 102,Synthetic Colour INS 122)",100,84,21.3,0
174,Aloha Pudina Masala Soft Drink,ALOHA,JUICE,SODA,"Carbonated Water, Sugar, Acidity Regulator INS 330,Acidity Regulator INS 331), Preservative (INS 211), Sweetener (INS 955), Natural and Nature Identical Flavour, Antioxidant (INS 300), Synthetic Colour INS 102,Synthetic Colour INS 133), Cloudifier",100,84,20.6,0
175,NEOPOP Mango Bliss Can,NEOPOP,JUICE,SODA,"Carbonated Water, Sugar, Alphonso Mango Pulp (5%), Acidity Regulator (INS 330), Preservative (INS 211), Permitted Natural Colour (Betacarotene), Natural and Nature-identical Flavours",100,40.7,10.2,0
176,NEOPOP Lemon Squeeze Can,NEOPOP,JUICE,SODA,"Carbonated Water, Sugar, Lemon Juice (2.5%), Acidity Regulator (330),  Preservative (211)",100,38.6,9.6,0
177,NEOPOP Orange Splash Can,NEOPOP,JUICE,SODA,"Carbonated Water, Sugar, Orange Juice (5%), Acidity Regulator (330), Preservative (211), Natural Colour (Betacarotene), Natural Flavours",100,40,10,0
178,Monster-S The Doctor Imported Energy Drink,MONSTER-S,JUICE,SODA,"Carbonated Water, Sucrose, Orange, Lemon, Glucose Syrup, Lemon Fruit, Natural Flavourings, Taurine (0.4%), Acidity Regulators Calcium Lactate, Acidity Regulators Sodium Citrate, Acid (Citric Acid), Panax Ginseng Root Extract (0.08%), Preservative (Potassium Sorbate), Antioxidant (Ascorbic Acid), Caffeine (0.03%), Vitamins B2,Vitamins B3,Vitamins B6,Vitamins B12, L-Carnitine L-Tartrate (0.004%), Sweetener (Sucralose), Sodium Chloride, D-Glucronolactone, Guarana Seed Extract (0.002%), Inositol, Maltodextrin",100,186,11,0
179,Dr Pepper Sparkling Fruit Flavour Soft Drink,DR PEPPER,JUICE,SODA,"Carbonated Water, Sugar, Colour (Caramel E150d), Phosphoric Acid, Sweeteners Aspartame,Sweeteners Acesulfame K, Preservative (Potassium Sorbate), Flavourings Including Caffeine",100,85,4.9,0
180,Bisleri Limonata Lemon and Mint Soft Drink,BISLERI,JUICE,SODA,"Water, Sugar, Clear Lemon Juice Concentrate (0.83%), Carbon Dioxide, Sodium Benzoate (INS 211), Malic Acid (INS 296), Sodium Citrate (INS 331(iii))",100,47,11.7,0
181,Limca Lemon Soft Drink,LIMCA,JUICE,SODA,"Added Flavours (Natural, Nature-Identical and Artificial Flavouring Substances - Lemon Flavour), Acidity Regulators INS 330, Acidity Regulators INS 331, Carbonated Water, Preservative (INS 211), Stabilizers INS 414,Stabilizers INS 471, Sugar",100,44,11.1,0
182,Dabur Hommade Lemon Concentrated Liquid,DABUR HOMMAD,JUICE,FRUIT BEVERAGE,"Water, Lime Juice, Lemon Juice Concentrate, Contains Permitted Class II Preservative (INS 224)",100,31,2.5,0
183,Sprite Lemon and Lime Soft Drink,SPRITE,JUICE,SODA,"Acidity Regulators INS 330,Acidity Regulators INS 331(III), Carbonated Water, Flavours (Natural Flavoring Substances), Preservative (INS 211), Sugar",100,49,12.2,0
184,7 Up Lemon Soft Drink,7 UP,JUICE,SODA,"Carbonated Water, Sugar, Acidity Regulators (330,Acidity Regulators 331,Acidity Regulators 296), Preservative (211)",100,47,11.7,0
185,7UP Nimbooz Soft Drink,7 UP NIMBOOZ,JUICE,SODA,"Water, Sugar, Concentrated Lemon Juice (0.7%), Acidity Regulators 331(Iii),Acidity Regulators 296,Acidity Regulators 330, Flavour (Natural Flavouring Substances), Iodised Salt, Stabilizer (445(Iii)), Preservative (202)",100,42,10.6,0
186,Mountain Dew Lemon Soft Drink,MOUMTAIN DEW,JUICE,SODA,"Carbonated Water, Sugar, Regulators 330,Regulators 331, Flavour (Natural Flavouring Substances), Preservative (211), Caffeine (13 Mg/100 G), Stabilizer (445 (iii)), Colour (102)",100,49,12.3,0
187,Pluckk Natural Tender Coconut Water With Real Malai Chunks,PLUCKK,JUICE,COCONUT WATER,"Tender Coconut Water (99.30%) ,Coconut chunks (0.70%)",100,46,11.52,0
188,Paper Boat Tender Coconut Water,PAPER BOAT,JUICE,COCONUT WATER,"Coconut water (99%), Sugar,Preservative (NSN)",100,22,5.5,0
189,Mirinda Orange Flavoured Soft Drink,MIRINDA,JUICE,SODA,"Carbonated Water, Sugar, Acidity Regulators 330, Acidity Regulators 331, Flavour (Natural Flavouring Substances), Sweeteners 955,Sweeteners 960, Preservative (211), Stabilizer (444), Colour (110)",100,28,6.9,0
190,Sting Energy Drink,STING,JUICE,SODA,"Carbonated Water, Sugar, Acidity Regulators 330,Acidity Regulators 331, Flavour (Natural and Nature Identical Flavouring Substances), Sequestrants 452(I),Sequestrants 385, Taurine, Caffeine (29 Mg/100 Ml), Preservatives 211,Preservatives 202, Sweeteners 955, Sweeteners 950, Colour (129), Inositol, Vitamins Premix",100,28,7,0
191,Red Bull Energy Drink,RED BULL,JUICE,SODA,"Water, Sucrose, Glucose, Acidulant (Citric Acid), Carbon Dioxide, Taurine (0.4%), Acidity Regulators Sodium Bicarbonate,Acidity Regulators Magnesium Carbonate, Flavours (Natural and Artificial), Colour (Caramel), Caffeine (0.03%), Vitamins (Niacin, B6, B2, B12)",100,45,11,0
192,Gatorade Blue Bolt Zero Sugar Energy Drink,GATORADE,JUICE,SODA,"Water, Sugar (5.4%), Dextrose, Acidity Regulator (330), Mineral Salts, Flavour Emulsion (Flavouring Substances, Stabilizers (445), Colour (102))",100,1,0,0
193,Gatorade Orange Zero Sugar Energy Drink,GATORADE,JUICE,SODA,"Acidity Regulator (INS 330), Dextrose, Flavour Emulsion (Flavouring Substances), Colour (INS 110), Mineral Salts, Stabilizer (INS 444), Sugar, Water",100,24,0,0
194,Gatorade Lemon Zero Sugar Energy Drink,GATORADE,JUICE,SODA,"Water, Dextrose, Acidity Regulator (330), Mineral Salts, Flavour Emulsion (Flavouring Substances), Stabilizers (445), Colour (102)",100,24,0,0
195,Smoodh Chocolate Milk Drink,SMOODH,JUICE,MILKSHAKE,"Water, Double Toned Milk (40%), Sugar, Whey Powder, Milk Solids, Cocoa Solids (1%), Malt Extract, Emulsifiers ,Stabilizers INS 460(i),Stabilizers INS 471,Stabilizers INS 466, Stabilizers INS 407,Stabilizers INS 340,Stabilizers INS 452, Nature Identical Flavouring Substance (Chocolate), Iodised Salt",100,83.8,14.6,2.3
196,Smoodh Chocolate and Hazelnut Milk Drink,SMOODH,JUICE,MILKSHAKE,"Water, Double Toned Milk (40%), Sugar, Whey Powder, Milk Solids, Cocoa Solids (1%), Malt Extract, Emulsifiers, Stabilizers INS 460(i),Stabilizers INS 471,Stabilizers INS 466,Stabilizers INS 407,Stabilizers INS 340,Stabilizers INS 452, Chocolate, Hazelnut, Iodised Salt",100,83.8,14.6,2.3
197,Smoodh Toffee Caramel Milk,SMOODH,JUICE,MILKSHAKE,"MILK SOLIDS*, WATER, SUGAR, DEXTROSE, MALT EXTRACT, NATURAL COLOUR (INS 150c) (0.67%), EMULSIFIERS, STABILIZERS INS 460(1),STABILIZERS INS 471,STABILIZERS INS 466,STABILIZERS INS 407,STABILIZERS INS 340,STABILIZERS INS 452, COCOA SOLIDS,  CARAMEL, TOFFEE ,VANILLA CAKE, IODISED SALT.",100,88.6,15.9,2.2
198,Hershey's Chocolate Milkshake,HERSHEYS,JUICE,MILKSHAKE,"Water, Sugar, Milk Solids (8%), Cocoa solids (0.75%), Emulsifier 460(1),Emulsifier 466,Emulsifier 471, Mineral (Calcium carbonate), Sequestrant (339(ii)), Edible common salt, Mineral (Zinc sulphate), Vitamin E (Acetate), Vitamin A (Acetate), VitaminD2(Ergocalciferol), VitaminB1 (Thiamine chloride hydrochloride), Vitamin B2 (Riboflavin)",100,166.2,29.27,3.94
199,Hershey's Cookies and Cream Milkshake,HERSHEYS,JUICE,MILKSHAKE,"Water, Mik Solids (11%), Sugar, Liquid Giucose, Mineral Caloium carbonate, Emusfiers 4600,Emusfiers 466 471, Cocoa Solids (0.25%), Flavours (Nature Identical and Atificial Flavounng Substances(Vanila loe cream), Edible Common Sat, Seguestrant (3911), Thickeners 415,Thickeners 407, Mineral (Zinc Sulphate), Vitamin E (Acetate), Vitarmin A (Acetate), Vitamin D2 (Ergocaloferol), Vitamin B1 (Thiamine Chloride Hydrochioride), Vitamin B2 (Riboltavin",100,161.3,29.7,3
200,Hershey's Strawberry Milkshake,HERSHEYS,JUICE,MILKSHAKE,"Water, Sugar, Milk Solids (8%*), Emulsifier 460(i),Emulsifier 466,Emulsifier (471), Mineral (Calcium carbonate), Sequestrant (339 (ii), Thickening agent (415), Mineral (Zinc sulphate), Vitamin E (Acetate), Vitamin A (Acetate), Vitamin D2 (Ergocalciferol), Vitamin B1 (Thiamine chloride hydrochloride), Vitamin B2 (Riboflavin), Edible common salt.",100,155.6,28.5,3.6
201,Sunfeast Dark Fantasy Chocolate Milkshake With Belgian Chocolate,SUNFEAST,JUICE,MILKSHAKE,"Milk Solids (82.9%), Sugar, Water, Cocoa Powder (1.3%), Nature Identical Flavouring Substances, Stabilizers 407,Stabilizers412, Emulsifier Mono-and di-glycerides of fatty acids (from Palm oil)], Belgian Chocolate (0.1%), Acidity Regulator (339 (ili), Chocolate, VANILLA CAKE, lodized Salt,Contains Milk, Soy, May Contain Nut, Wheat, Oat",100,110,17.5,3.1
202,Creambell Choco Milkshake,CREAMBELL MILKSHAKE,JUICE,MILKSHAKE,"Toned Milk (85%), Potable Water, Sugar, Milk Solids, Cocoa Solids (1.3%), Emulsifying Agents (INS 471), Stabilizing Agents INS 407,Stabilizing Agents 412,Stabilizing Agents 415, Acidity Regulators INS 340 (ii),Acidity Regulators INS 340 (iii),Acidity Regulators INS 452 (i), Colour (INS 150d), Flavour Nature-Identical Flavouring Substances (Belgian Chocolate)",100,98,14,3.4
203,Creambell Coffee Milkshake,CREAMBELL MILKSHAKE,JUICE,MILKSHAKE,"Double Toned Milk (82%), Potable Water, Sugar, Milk Solids, Coffee Powder (0.4%), Emulsifying Agents (INS 471),Stabilizing Agents INS 407,Stabilizing Agents 412,Stabilizing Agents 415, Acidity Regulators INS 340 (ii),Acidity Regulators 340 (ii),Acidity Regulators 452 (i), Colour (INS 150d), Flavour Nature-Identical Flavouring Substances (Coffee)",100,84,14,3.4
204,Epigamia Turbo VANILLA CAKE and Caramel Protein Milkshake,EPIGAMIA,JUICE,MILKSHAKE,"Skimmed Milk (80%), Milk Solids, Water, VANILLA CAKE,Caramel, Acidity Regulators INS 340,Acidity Regulators INS 452,Acidity Regulators INS 339(ii), Stabilizers (INS 407), Sweetener (INS 955), Edible Common Salt",100,136,8,25
205,Phab 18g Protein Mango Magic Milkshake,PHAB,JUICE,MILKSHAKE,"Purifed Water, Protein 15% Milk Protein Concentrate,Protein 15% Milk Solids, Probiotic Fructooligosaccharide, Artificial Flavour Substances - Mango, Stabilizers INS 407,Mango, Stabilizers INS460(i),Mango, Stabilizers INS 466, Sequestrant INS 331 (iii),Sequestrant INS 452 (),Acidity Regulator INS 339(iii), Emulsifier (INS 471),Synthetic Food Colour INS 110,ynthetic Food Colour INS 102, Artificial Sweetener (INS 955)",100,125.9,8,18
206,Heritage Chocolate and Caramel Milkshake,HERITAGE,JUICE,MILKSHAKE,"Toned Milk, Sugar, Cocoa Powder, Emulsifier,Stabilizers INS 471,Stabilizers INS 412,Stabilizers INS 407 Acidity Regulator (INS339 (ii))",100,101.5,14.1,3.4
207,Heritage Pista Flavoured Milk,HERITAGE,JUICE,MILKSHAKE,"Toned milk, Sugar, Almond bits (0.6%), Malai, Saffron, Iodized salt, Natural food color (INS 150 c), Acidity regulator (INS339(ii)), Stabilizers (INS 407), Cardamom extract",100,83.9,14.3,3.3
208,Heritage VANILLA CAKE Flavoured Milk,HERITAGE,JUICE,MILKSHAKE,"Double Toned Milk, Sugar, Synthetic Food Colour (E102),Artificial VANILLA CAKE Flavouring Substance",100,84,14.3,3.3
209,Nestle Milo Health Chocolate Drink with Millets,MILO,JUICE,MILKSHAKE,"Toned Milk (80%), Water, Sugar, Malted barley (1.4%), Millet (Bajra) (1.4%), Cocoa solids (1%), Acidity regulators 340(ii), Acidity regulators 341(ii), Stabilizers 412,Stabilizers 407, VitamINS, Sweetener (960),Mineral",100,80,11.4,2.9
210,Amul Gold Kool Exotic Rose Flavoured Milk,AMUL,JUICE,MILKSHAKE,"Toned Milk, Sugar, Milk Solids, Synthetic Food Colour (127), Artificial Flavouring Substances (Rose)",100,164,22.5,5.6
211,Amul Kool Kesar Milk Drink,AMUL,JUICE,MILKSHAKE,"Toned Milk, Milk Solids, Sugar, Synthetic Food Colours 102,Synthetic Food Colours 110, Artificial Flavouring Substances (Kesar)",100,163,22.5,5.6
212,Amul Gold Kool Premium Kesar Flavoured Milk,AMUL,JUICE,MILKSHAKE,"Toned Milk, Sugar, Milk Solids, Synthetic Food Colours 102,Synthetic Food Colours 110, Artificial Flavouring Substances (Kesar)",100,164,22.5,5.6
213,Amul Taaza Homogenised Toned Milk (Tetra Pack),AMUL,JUICE,MILKSHAKE,"Toned Milk Fat 3.0% Minimum,Toned Milk Snf 8.5% Minimum",100,58.2,4.8,3
214,Amul Gold Kool Royal Elaichi Flavoured Milk,AMUL,JUICE,MILKSHAKE,"Toned milk, sugar, milk solids, synthetic food colours 102,synthetic food colours 133, artificial flavouring substances (elaichi)",100,164,22.5,5.6
215,Nescafe Ready To Drink Coffee Flavoured Milk Iced Latte Cold Coffee,NESCAFE,JUICE,COFFEE,"Double Toned Milk (87%), Sugar, Coffee (0.8%), Acidity Regulator (339(ii)), Stabilizer (407), Iodized Salt",100,126,19.4,5.8
216,BRU Classic Cold Coffee Tetra Pack,NESCAFE,JUICE,COFFEE,"Double Toned Milk, Sugar, Milk Solids, Coffee (0.62%), Stabilizers INS 1440,Stabilizers INS 460 (i),Stabilizers INS 466,Stabilizers INS 407, Acidity Regulator (INS 339 (ii))",100,138,22.2,7
217,Nescafe Cafe Style Iced Frappe Cold Coffee,NESCAFE,JUICE,COFFEE,"Toned milk (48%), Water, Sugar, Dried glucose syrup, Coffee (0.8%), Stabilizers 466,Stabilizers 460(i), Acidity regulators 500(ii),Acidity regulator 332(ii), Emulsifier (322(i)), Thickener (415), Iodized salt",100,54,9.7,1.4
218,Nescafe Ready To Drink Coffee Flavoured Milk Intense Cafe Cappucino Cold Coffee,NESCAFE,JUICE,COFFEE,"Double Toned Milk (87%), Sugar, Coffee (0.8%), Acidity Regulator (339(ii)), Nature-Identical (Cappuccino) Flavouring Substances,Stabilizer (407)",100,126,19.4,5.8
219,Cravova Hazelnut Cold Coffee,CRAVOVA,JUICE,COFFEE,"Milk solid, Sugar, Coffee, Natural Flavoring Substance",100,83.2,11.5,3
220,Cravova Mocha Cold Coffee,CRAVOVA,JUICE,COFFEE,"Milk, Milk Solids, Sugar, Coffee (0.8%), Cocoa Powder (0.25%), Acidity Regulator (INS 339(ii)),Stabilizer (INS 418)",100,83.2,11.5,3
221,"Tata Cold Coffee Belgian Chocolate Iced Coffee, Rich & Creamy, Flavoured Milk",TATA COFFEE GRAND,JUICE,COFFEE,"Water, Sugar, Coffee, Nature-Identical Flavouring Substance, Cocoa Powder, Stabilisers, Chicory,,Preservative",100,31,7,0.2
222,Dairy Day Bento Cake Choco Fantasy Ice Cream Cake - Box,DAIRY DAY,CAKE,ICECREAM CAKE,"Ice Cream (45%): Milk Solids, Water, Cocoa Solids, Sugar, Emulsifier INS 477,Emulsifier 471, Stabiliser INS 410,Stabiliser 412, Contains Added Flavour - Nature Identical Chocolate Flavouring Substances. Eggless Chocolate Cake (24%): Wheat Flour, Water, Edible Vegetable Oil, Raising Agents (INS 341(ii)), Corn Starch, Emulsifier, Stabiliser INS 415,Stabiliser 433,Stabiliser 471,Stabiliser 475, Dextrose, Salt, Baking Powder, Choco Compound Chips (15%) , Edible Vegetable Fat, Cocoa Solids, Emulsifier (INS 322), Chocolate Flavoured Non Dairy Whip Cream (9%), Cherry, Chocolate Syrup (7%) Water, Milk Solids, Sugar, Vanillin, Stabiliser (INS 415)",100,79.3,39,4.3
223,Winkies Cake - Chocolate Cake Slice,WINKIES,CAKE,CHOCOLATECAKE,"REFINED WHEAT FLOUR (MAIDA), SUGAR,EGGS, BAKERY SHORTENING, WATER, PALM OIL, HUMECTANTS INS 422,HUMECTANTS INS 420, LIQUID GLUCOSE, COCOA SOLIDS (2%), INVERT SYRUP, MIXED FRUIT JAM, MILK SOLIDS, NATURAL FOOD COLOUR (INS 150d), CAKE GEL INS 471, CAKE GEL INS 477, CAKE GEL INS 1520, CAKE GEL INS 420, CAKE GEL INS 412, RAISING AGENT [INS 500(ii)], BAKING POWDER, EDIBLE COMMON SALT, PRESERVATIVE INS 282,PRESERVATIVE INS 200, ACIDITY REGULATOR (INS 260), ARTIFICIAL FLAVOUR(S),CHOCOLATE AND VANILLA CAKE, STABILIZER INS 412,STABILIZER INS 415), EMULSIFIERS INS 471,EMULSIFIERS INS 477,EMULSIFIERS INS 322, NATURE-IDENTICAL FLAVOUR (ORANGE).",100,427.9,52.1,7.2
224,The Baker's Dozen VANILLA CAKE Cake,THE BAKER'S DOZEN,CAKE,VANILLA CAKE,"Wholewheat Flour (27%), Sunflower Oil,Sugar, Condensed Milk, Apple Cider Vinegar, Baking Powder, Raising Agent (INS 500 (ii)), lodized Salt, Preservatives INS 202,Preservatives INS 282, CONTAINS ADDED ARTIFICIAL FLAVOURING SUBSTANCES (VANILLA CAKE)",100,380,48,6
225,The Baker'S Dozen Fresh Orange Cake,THE BAKER'S DOZEN,CAKE,ORANGE CAKE,"Refined Wheat Flour (Maida), Sugar, Orange Juice (21%) ,Water, Sugar, Orange Concentrate (20.40%)^, Orange Pulp (0.5%)^, Vitamin C, Flavour (Natural Flavouring Substances), Sunflower Oil, Condensed Milk, Apple Cider Vinegar, Orange Peel Candy (1%), Baking Powder, Raising Agent (INS 500 (ii)), lodized Salt, Preservatives INS 202,Preservatives INS 282.",100,358,55,5
226,Britannia Gobbles Bar Cake - Fruity Fun,BRITANNIA,CAKE,CAKE,"Refined Wheat Flour (Maida), Egg, Sugar, Vanaspati, Fruit Products (7.4%),Glazed Fruits Papaya Cuts,Glazed Fruits Preservative (202), Colours 124,Colours 110, Orange Pulp, Interesterified Vegetable Fat, Humectant (422), Refined Palmolein Oil, Liquid Glucose, Dextrose, High Maltose Syrup, Fructooligosaccharides, Cake Gel,Emulsifiers 471,Emulsifiers 477,Emulsifiers470(i), Humectants 1520,Humectants 422), Edible Maize Starch, Wheat Starch, Raising Agents (341(i),Raising Agents 500(ii),Raising Agents 450(vii),Raising Agents 450(i), Nature Identical, Artificial (Mixed Fruit, Creamy VANILLA CAKE) Flavouring Substances, lodised Salt, Invert Sugar Syrup, Preservatives 202,Preservatives 282, Acidity Regulator (330), Baking Powder, Emulsifier (475), Stabilizer (415), Colour (102).",100,450,59,5.7
227,The Baker's Dozen Banana Bread 100% Wholewheat,THE BAKER'S DOZEN,CAKE,BANANA BREAD,"Sugar, Wholewheat Flour (18%), Bananas (18%), Sunflower Oil, Whole Egg Powder, Banana Powder (2%), Raising Agent (INS 500 (ii)), Preservatives INS 202,Preservatives INS 282",100,393,44,7
228,The Baker's Dozen Wholewheat Banana Walnut Cake,THE BAKER'S DOZEN,CAKE,BANANAWALNUT CAKE,"Sugar, Banana (19%), Sunflower Oil, Wholewheat Flour (Atta) (14%), Walnuts (13%), Whole Egg Powder, Banana Powder (2%), Raising Agent (INS500()), Preservative INS202,Preservative INS282.",100,448,43,9
